a_e_type,a_e_machine,a_num_sections,a_num_segments,a_sections_executable,a_sections_writable,a_segments_executable,a_num_symbols,a_num_functions,a_num_undefined_symbols,a_num_libraries_needed,a_file_size,b_global_entropy,b_entropy_mean,b_entropy_std,b_null_byte_freq,b_printable_freq,b_high_byte_freq,b_ngram_2_entropy,b_ngram_3_entropy,b_header_entropy,b_text_section_entropy,c_code_to_data_ratio,c_code_to_file_ratio,c_header_to_file_ratio,c_section_entropy_mean,c_section_entropy_max,c_section_entropy_std,c_high_entropy_section_count,c_has_nx,c_has_pie,c_has_relro,c_suspicious_section_count,c_empty_section_name_count,c_suspicious_import_count,c_num_strings,c_avg_string_length,c_url_string_count,c_ip_string_count,label
3,62,31,13,6,7,1,96,87,96,1,39664,5.369047826705986,3.9018426504271098,1.6798468777049367,0.35281363453005243,0.2884983864461476,0.26096712384025816,8.589022941217403,10.42168257365707,2.2776671697188604,6.037931715083665,3.146223021582734,0.4410296490520371,0.019967728922952805,3.0581546733758276,6.037931715083665,1.49512542215288,0,1,1,1,0,1,4,369,16.170731707317074,0,0,0
3,62,31,13,6,7,1,68,59,68,1,207768,4.542902100701075,3.0102242938819046,1.479508117113857,0.48768337761349195,0.21591871703053406,0.17140271841669555,7.54820129370034,9.446626846096715,2.414317263985409,6.190463267806449,1.1204218758605498,0.1958290015786839,0.0038119440914866584,3.1996561331065436,6.190463267806449,1.4614954262130886,0,1,1,1,0,1,2,1892,14.01215644820296,0,0,0
3,62,31,13,6,7,1,74,65,67,1,27152,3.7969733837997524,2.5155541084756834,2.0989118152781496,0.5894225103123159,0.1874263406010607,0.1487919858573954,5.872992739692423,7.074595289878415,2.58251052998608,6.022464390120741,4.802721088435374,0.2340159104301709,0.029169121979964643,3.062818214078863,6.022464390120741,1.5353514200273026,0,1,1,1,0,1,2,190,12.005263157894737,0,0,0
3,62,30,13,6,7,1,173,160,173,5,1736392,6.106415741257836,4.767191542299485,1.2997565180650459,0.2255464203935517,0.238628719782169,0.3789063759796175,10.699599030223434,13.804636085437393,2.505078574756411,6.355491530856258,7.359850236003858,0.7426387589899055,0.00045611820372358313,3.3537769499822443,6.36689774666044,1.5372742747357198,0,1,1,1,0,1,5,7948,10.140790135883242,0,0,0
3,62,30,13,6,6,1,137,116,128,5,46408,5.046874155049694,3.3941263279414744,1.866073439507624,0.38654973280468885,0.3363428719186347,0.20268057231511807,7.9580989900134425,9.585327006441034,2.651884880202211,5.996950613197922,1.6875585754451734,0.3103990691260128,0.01706602309946561,3.285026798269694,5.996950613197922,1.490574302311976,0,1,1,1,0,1,1,418,25.373205741626794,2,0,0
3,62,31,13,6,7,1,43,31,43,1,22912,3.0589902966404945,1.9456272878772032,1.9770403687682856,0.6878055167597765,0.15341305865921787,0.10012220670391062,4.689589324171052,5.670756898545247,2.2725463222046653,5.976744358218916,2.4636222910216716,0.13892283519553073,0.03456703910614525,2.9434956307671065,5.976744358218916,1.53717784375009,0,1,1,1,0,1,1,151,12.47019867549669,0,0,0
3,62,30,13,6,6,1,31,26,30,2,14648,2.7284948017711295,1.7514414960567157,1.799991732119612,0.7211223375204806,0.1360595303113053,0.0804205352266521,4.125456731278998,5.027244197579958,2.2598660117652667,5.558977175657839,4.232704402515723,0.09188967777170945,0.05406881485527035,2.940105600864798,5.558977175657839,1.4519055531215792,0,1,1,1,0,1,6,87,14.080459770114942,0,0,0
3,62,31,13,6,7,1,131,122,130,4,178552,5.708327343879543,4.3382664511250235,1.4348338575311248,0.2731025135534746,0.27717975715757875,0.31749854384156995,9.44666854264606,11.565558251965019,2.441441867703067,5.907007018739802,7.646973518284994,0.6792475021282316,0.004435682602267127,3.2402130124460387,5.907007018739802,1.527907607148561,0,1,1,1,0,1,4,1058,15.294896030245747,0,0,0
3,62,30,13,6,6,1,149,139,141,6,39224,4.419647724960967,2.8594607309267173,1.9547353229654487,0.4861819294309606,0.2423771160513971,0.1953905771976341,6.789152644951921,8.17952308769021,2.318260825585373,5.910448159326159,4.331341911764706,0.24028655924943912,0.020191719355496636,3.0669820196101143,5.910448159326159,1.5093992777631546,0,1,1,1,0,1,1,305,18.285245901639342,0,0,0
3,62,32,13,6,7,1,67,61,67,3,96776,4.90374137340779,3.395482160489159,1.824088730755333,0.4243200793585186,0.23667024882202198,0.2308630238902207,8.057694198022762,9.916202711527442,2.3811479105213964,6.132816330052626,3.6889135702746363,0.37752128626932296,0.008183847234851617,3.2427525214966084,6.132816330052626,1.5492414927093656,0,1,1,1,0,1,1,815,10.130061349693252,3,0,0
