e_type,e_machine,e_version,e_entry,e_phoff,e_shoff,e_flags,e_ehsize,e_phentsize,e_phnum,e_shentsize,e_shnum,e_shstrndx,num_sections,sections_executable,sections_writable,sections_allocatable,sections_progbits,sections_nobits,sections_symtab,sections_dynsym,sections_strtab,sections_rela,sections_rel,sections_dynamic,sections_note,section_size_min,section_size_max,section_size_mean,section_size_total,num_segments,segments_executable,segments_writable,segments_readable,segments_load,segments_dynamic,segments_interp,segments_note,segments_gnu_stack,segments_gnu_relro,num_symbols,num_functions,num_objects,num_global_symbols,num_local_symbols,num_weak_symbols,num_undefined_symbols,num_libraries_needed,num_dynamic_entries,has_rpath,has_runpath,has_soname,file_size,label
2,62,1,4202928,64,21192,0,64,56,10,64,32,31,32,4,9,28,12,1,0,1,2,2,0,1,4,0,7776,657.09375,21027,10,1,4,10,2,1,1,2,1,1,58,39,12,54,1,3,55,5,29,0,0,0,23240,0
3,62,1,5856,64,12736,0,64,56,13,64,31,30,31,6,7,27,15,1,0,1,2,2,0,1,3,0,1321,199.96774193548387,6199,13,1,3,13,4,1,1,2,1,1,29,21,4,24,1,4,29,1,27,0,0,0,14720,0
3,62,1,26560,64,61896,0,64,56,13,64,31,30,31,6,7,27,15,1,0,1,2,2,0,1,3,0,31586,1865.774193548387,57839,13,1,3,13,4,1,1,2,1,1,132,122,6,127,1,4,132,3,29,0,0,0,63880,0
2,62,1,4204544,64,25376,0,64,56,10,64,32,31,32,4,9,28,12,1,0,1,2,2,0,1,4,0,9744,755.3125,24170,10,1,4,10,2,1,1,2,1,1,71,51,13,66,1,4,67,5,29,0,0,0,27424,0
2,62,1,4205136,64,33688,0,64,56,10,64,32,31,32,4,9,28,12,1,0,1,2,2,0,1,4,0,16400,990.40625,31693,10,1,4,10,2,1,1,2,1,1,81,65,9,74,1,6,75,5,29,0,0,0,35736,0
3,62,1,12832,64,20928,0,64,56,13,64,30,29,30,6,6,26,14,1,0,1,2,2,0,1,3,0,3623,420.0,12600,13,1,3,13,4,1,1,2,1,1,57,53,0,52,1,4,57,4,30,0,0,0,22848,0
3,62,1,25552,64,66064,0,64,56,13,64,31,30,31,6,7,27,15,1,0,1,2,2,0,1,3,0,32371,2047.1935483870968,63463,13,1,3,13,4,1,1,2,1,1,138,126,8,133,1,4,138,4,30,0,0,0,68048,0
3,62,1,40448,64,168664,0,64,56,13,64,31,30,31,6,7,27,15,1,0,1,2,2,0,1,3,0,107362,5216.967741935484,161726,13,1,3,13,4,1,1,2,1,1,159,151,4,154,1,4,159,3,29,0,0,0,170648,0
3,62,1,122928,64,978184,0,64,56,13,64,31,30,31,6,7,28,15,1,0,1,2,2,0,1,3,0,759340,31890.032258064515,988591,13,1,3,13,4,1,1,2,1,1,188,174,10,171,1,16,174,3,29,0,0,0,980168,0
3,62,1,11072,64,16840,0,64,56,13,64,31,30,31,6,7,27,15,1,0,1,2,2,0,1,3,0,2039,355.1290322580645,11009,13,1,3,13,4,1,1,2,1,1,63,53,1,57,1,5,55,7,33,0,0,0,18824,0
